,271,189,131,82,215,74,43,55,154,21,272,161,83,5,121,184,210,263,110,22,56,190,84,149,111,32,218,8,112,94,211,255,101,274,265,219,144,67,275,186,102,266,232,246,206,191,198,173,165,78,151,25,86,234,222,126,235,158,212,60,200,15,192,79,207,16,51,213,259,237,181,224,39,238,71,89,40,117,193,202,279,153,41,239,118,108,141,280,90,73,240,42,169
271,0,41159,28251,2901,19317,22605,5736,67144,5736,23271,20777,4524,25945,30380,40673,42476,46040,26386,28568,23665,33366,26146,37914,48034,20000,50121,14505,25979,82388,50340,40349,45367,34733,44740,17161,33596,33078,16420,39713,29490,44118,56508,38828,2630,29449,40694,11329,33434,63933,30763,35679,29112,58633,56452,8055,53469,62943,35769,68000,22113,45488,10512,34253,34651,50522,35490,53064,41980,16786,29756,47762,43151,28770,43044,12068,28229,45114,22909,5843,21666,5736,29532,24212,45513,67144,29931,41052,21029,19450,35679,34999,28529,4524
189,41159,0,24711,39166,52937,57915,36906,28457,36906,26333,45155,37226,15868,8185,560,2325,9974,16309,11642,18511,8077,44064,28405,8039,31734,11815,54884,43897,43701,13764,2643,5698,3572,5371,25317,17482,5408,25657,2007,21484,3944,33179,5107,39254,27152,2685,46706,5764,40604,8423,22477,21065,35304,34285,42866,30045,35249,5743,40894,20392,5314,50282,6033,4575,20470,5038,16537,4243,25798,11532,6882,2977,23251,2870,50245,25611,23962,26049,35989,30253,36906,12577,18637,4820,28457,19694,2047,22494,31145,22477,23511,21210,37226
131,28251,24711,0,26862,33318,39202,24602,49047,24602,12953,35246,24922,10422,13853,24146,19936,24377,10863,11092,9481,16839,24445,26142,23050,16899,29179,41407,24278,64291,25928,18468,20692,18206,24251,10256,16721,16551,12202,18720,15015,23852,40269,18341,26950,21597,18928,34402,16907,47694,14236,17110,14956,42394,41375,30562,37135,42339,16893,47984,11813,24288,37978,17726,18124,31767,16812,30835,18035,10737,12280,24979,26624,14235,26517,37941,20830,31089,13086,23685,14209,24602,11446,9607,23877,49047,12368,19286,13478,16310,17110,17402,15246,24922
82,2901,39166,26862,0,17219,20740,5239,65689,5239,17980,20808,4027,22628,28925,39218,41021,44585,23069,27113,22210,31911,24691,36459,46579,21450,48666,15825,24524,80933,48885,38894,43912,33278,43285,15593,32141,31623,16595,38258,21189,42663,55053,37373,542,30899,39239,9823,31979,62478,29308,37129,30562,57178,54997,6394,52014,61488,34314,66545,20545,44033,9580,32798,33196,49067,34035,51609,40525,15218,28301,46307,41696,20409,41589,11136,26774,43659,24359,5346,23116,5239,26215,22757,44058,65689,20746,39597,19461,20900,37129,36449,29979,4027
215,19317,52937,33318,17219,0,6263,23012,67024,23012,34669,1942,23332,37085,41937,52230,46148,45920,37526,39708,34805,44923,13526,25987,47914,30904,57540,11688,13359,82268,50220,44680,48954,46290,54216,32882,30069,44635,33284,44932,38923,54053,56388,44553,18296,45505,45140,11757,44991,63813,42320,46107,39296,58513,56332,13918,53349,62823,43113,67880,36153,54253,11796,45810,46208,50402,43032,52944,44247,33363,40896,56110,54708,38143,51556,10345,26605,44994,34802,22095,32762,23012,40443,35352,53823,67024,36708,45498,37379,32338,46107,41742,39586,23332
74,22605,57915,39202,20740,6263,0,22491,71086,22491,34148,6004,22811,41965,44759,55052,50210,49982,42406,44588,39685,47745,13909,30049,51976,32406,61602,10472,13742,86330,54282,54728,53016,49112,59119,31761,34131,47457,32763,54092,37357,58497,60450,48615,17080,44715,55073,9948,47813,67875,45142,50987,44176,62575,60394,13397,57411,66885,47175,71942,41033,59867,10580,48632,49030,54464,47094,57006,48309,31386,45776,62141,57530,36577,57423,9129,30667,49056,34281,21574,32241,22491,45323,40232,59892,71086,41588,55431,35629,31817,50987,46622,44466,22811
43,5736,36906,24602,5239,23012,22491,0,64252,1332,13590,22626,2798,23053,27488,37781,39584,43148,23494,25676,20773,30474,23254,35022,45142,10487,47229,23088,23087,79496,47448,37457,42475,31841,41848,14575,30704,30186,12337,36821,20171,41226,53616,35936,5627,23597,37802,14910,30542,61041,27871,29827,25264,55741,53560,9694,50577,60051,32877,65108,19527,42596,14378,31361,31759,47630,32598,50172,39088,14200,26864,44870,40259,19391,40152,18449,25337,42222,13751,1439,11815,1332,26640,21320,42621,64252,19728,38160,18443,11323,29827,27710,22396,2798
55,67144,28457,49047,65689,67024,71086,64252,0,63583,52699,64879,63903,44716,35050,27013,25703,27134,45157,39508,44877,33139,63565,44332,27453,56978,18272,80527,63398,17592,23409,29384,26605,30630,22676,50561,40014,32466,52023,29677,46546,24054,25542,30649,65931,52214,29171,73383,33196,41231,35716,47539,46127,36767,35040,69543,21511,25650,32496,28564,45454,23040,76959,32151,31193,23958,29803,26549,28954,51042,39398,21012,24417,46994,24138,76922,43770,31951,52415,62666,55497,63583,40159,45003,22130,30,44756,30629,46980,56389,47539,48573,46272,63903
154,5736,36906,24602,5239,23012,22491,1332,63583,0,13590,22626,2798,23053,27488,37781,39584,43148,23494,25676,20773,30474,23254,35022,45142,10487,47229,23088,23087,79496,47448,37457,42475,31841,41848,14575,30704,30186,12337,36821,20171,41226,53616,35936,5627,23597,37802,14910,30542,61041,27871,29827,25264,55741,53560,9694,50577,60051,32877,65108,19527,42596,14378,31361,31759,47630,32598,50172,39088,14200,26864,44870,40259,19391,40152,18449,25337,42222,13751,1439,11815,1332,26640,21320,42621,64252,19728,38160,18443,11323,29827,27710,22396,2798
